page_url,page_title,question,answer,confidence
https://joinvoy.zendesk.com/hc/en-gb/articles/32242827773716-Information-about-Mounjaro,Information about Mounjaro – Voy,Information about Mounjaro – Voy,"
## What is Mounjaro

Mounjaro is a new medication that activates the receptors of two hormones found in the digestive tract known as GLP-1 and GIP which increase after we eat. They combine to provide a feeling of fullness for an extended period. By also targeting receptors in the brain it helps to lower the ‘set point’ which is the weight it ordinarily strives to maintain. Mounjaro gives you the opportunity and makes it easier to opt for healthier choices to reduce your calorie intake to optimise your weight loss.

If you would like to know even more about how Mounjaro works you can learn more from the following site: [Mounjaro.com.](https://www.mounjaro.com/)

## How does Mounjaro work?

In a nutshell:

1. Reduces appetite – so you are less hungry
2. Reduces cravings – so it’s easier to make healthy choices
3. Reduces your set point – so you can lose more weight before reaching a plateau

## Mounjaro Titrations

Mounjaro comes in six different dose strengths: 2.5mg, 5mg, 7.5mg, 10mg, 12.5mg and 15mg. You’ll start Mounjaro at a dose of 2.5mg once a week and increase the dose every 4 weeks, automatically, until you reach the full dose of 15mg by month 6.

The dose is gradually increased to allow your body to get used to the medication and minimise any side effects you might experience. Unless otherwise agreed with a clinician, it is essential that your starting dose is 2.5mg - if you have received any other strength, please get in touch with our customer support team before starting your treatment.

If you do not want to increase your dose every 4 weeks, please speak to our Medical Team or Customer Care Team, and we'll update your subscription.

## Why is there excess liquid after my fourth dose?

Every Mounjaro Kwikpen comes with four doses of medication and enough liquid to prime your pen before every dose.

This means that you will see an excess of liquid in your pen after you’ve taken your four doses. This is to be expected and should not be something to worry about.

Please do not attempt to take more than 4 doses of your medication, attempting to use your pen more than four times will lock your pen and you’ll no longer be able to access the liquid.

## Where can I find the expiry date for my Mounjaro pen?

You can find the expiry date of your medication on the side of your medication box. This will be shown as ‘EXP: DATE’. The expiry date refers to the end of the month that is noted.

## How do I take Mounjaro?

Mounjaro is injected once a week (on the same day each week), under the skin, in the subcutaneous fat. It should be injected in the abdomen, thigh or upper arm (it’s advisable to rotate to a slightly different part of your body each time you inject, this minimises potential discomfort/irritation).

Please note that the medication is contained within the clear chamber in the pen, not the individual needles – these are used to deliver each dose.

Watch our step-by-step guide on how to take your Mounjaro before you start your treatment: [How to take Mounjaro](https://www.joinvoy.com/videos/how-to-take-mounjaro)

## How to store your Mounjaro

You should store Mounjaro in the refrigerator between 2°C to 8°C (36°F to 46°F). If needed, each pen can be stored at room temperature up to 30°C ( 86°F) for up to 30 days.

Once you've started the pen, it must be used within 30 days of the first dose.

These instructions are supplementary to the information provided in the patient information leaflet in your medication box provided with each order.

Do not use this medicine if the solution is not clear and colourless or almost colourless (slightly yellow).

Once you’ve used your needles and finished your pen, you can dispose of it in the sharps bin provided. Do not throw away any medicines via wastewater or household waste. If you’re unable to use your sharps bin, ask your pharmacist how to throw away medicines you no longer use. These measures will help protect the environment.

",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/31871891934868-Which-forms-of-ID-does-Voy-accept,Which forms of ID does Voy accept? – Voy,Which forms of ID does Voy accept? – Voy,"
As part of your approval process, we'll ask you to upload a form of ID. Here's some guidance on the types of ID we accept. **Accepted Forms of Photo ID**

To be accepted, your ID needs to show:

- **Full name**
- **Date of birth**
- **Photo**

You can still use an ID that’s out of date as long as it still looks like you, and your name and date of birth haven’t changed.

Here are some examples of IDs that may work if they meet the requirements above:

- Passport from the UK, Channel Islands, Isle of Man, British Overseas Territory, an EEA state, or Commonwealth country (including Irish Passport Cards)
- Driving licence from the UK, Channel Islands, Isle of Man, or an EEA state (including provisional licences)
- Blue Badge
- UK Government-funded Older Person’s Bus Pass or Disabled Person’s Bus Pass
- 60+ London Oyster Photocard (from Transport for London)
- Freedom Pass
- Scottish National Entitlement Card (for 60+, disabled, or under-22s)
- 60 and Over Welsh Concessionary Travel Card
- Disabled Person’s Welsh Concessionary Travel Card
- Northern Ireland Senior SmartPass, Registered Blind or Blind Person’s SmartPass, War Disablement SmartPass, 60+ SmartPass, or Half Fare SmartPass
- ID card with a Proof of Age Standards Scheme (PASS) hologram
- Biometric immigration document
- Ministry of Defence Form 90 (Defence Identity Card)
- National identity card from an EEA state
- Northern Ireland Electoral Identity Card
- Voter Authority Certificate
- Anonymous Elector's Document

",N/A
https://joinvoy.zendesk.com/hc/en-gb/sections/20198637602196-Refunds-Exchanges,Refunds & Exchanges – Voy,Refunds & Exchanges – Voy,"
- [My treatment arrived faulty or damaged](https://joinvoy.zendesk.com/hc/en-gb/articles/20199921645204-My-treatment-arrived-faulty-or-damaged)
- [What is your Returns policy?](https://joinvoy.zendesk.com/hc/en-gb/articles/20199844131348-What-is-your-Returns-policy)",N/A
https://joinvoy.zendesk.com/hc/en-gb/sections/20198170377876-Account-Management,Account Management – Voy,Account Management – Voy,"
- [Can I change my coach?](https://joinvoy.zendesk.com/hc/en-gb/articles/35735690703764-Can-I-change-my-coach)
- [How do I upload photos?](https://joinvoy.zendesk.com/hc/en-gb/articles/31894643942420-How-do-I-upload-photos)
- [Which forms of ID does Voy accept?](https://joinvoy.zendesk.com/hc/en-gb/articles/31871891934868-Which-forms-of-ID-does-Voy-accept)
- [How do I unsubscribe from marketing communications?](https://joinvoy.zendesk.com/hc/en-gb/articles/20198976737428-How-do-I-unsubscribe-from-marketing-communications)
- [How do I sign up to Voy?](https://joinvoy.zendesk.com/hc/en-gb/articles/20198861856916-How-do-I-sign-up-to-Voy)
- [How do I update my account or subscription?](https://joinvoy.zendesk.com/hc/en-gb/articles/20198884011412-How-do-I-update-my-account-or-subscription)
- [How do I log into my account?](https://joinvoy.zendesk.com/hc/en-gb/articles/20169957333268-How-do-I-log-into-my-account)",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/20198861856916-How-do-I-sign-up-to-Voy,How do I sign up to Voy? – Voy,How do I sign up to Voy? – Voy,"
Welcome to Voy! We're here to support you on your weight loss journey to feeling a happier and healthier you. Here's a step-by-step guide on how to begin your journey

## Step 1: Eligibility Check

1. Visit our homepage at [www.joinvoy.com](https://www.joinvoy.com/ ""https://www.joinvoy.com"")
2. Click on [""Am I Eligible?""](https://www.joinvoy.com/n/weight-loss/quiz/1 ""https://www.joinvoy.com/n/weight-loss/quiz/1"")
3. Complete our eligibility questionnaire about your medical history and weight loss experience

## Step 2: Personalised Plan

If you're eligible we'll present your personalised weight loss plan and the treatment options available to you

## Step 3: Choose Your Plan

Once you've reviewed the treatment plans presented, select the one that you feel is right for you.

Each plan is set up as a subscription that will automatically renews in line with your treatment plan. This is typically every 28 or 42 days.

You can cancel your subscription anytime from your [Account](https://www.joinvoy.com/account ""https://www.joinvoy.com/account"") under 'Manage Plans'.

## Step 4: Checkout

If you're happy with the plan, click 'checkout' at the bottom of the page and complete your payment details.

## Step 5: Complete Your Tasks

After placing your order you'll be taken to your [home](https://www.joinvoy.com/account/home ""https://www.joinvoy.com/account/home"") page. Here you'll see two tasks to complete:

1. Upload a full-length photo of yourself (taken that day for the purpose of your consultation)
2. Upload a photo of your ID

Our Clinical Team will review your photos within 1 business day. If they have any questions or require new photos they'll send you a message to the [messages](https://www.joinvoy.com/support) section on your account.

If you need to provide more information:

1. Respond to the medical team using the text box provided in your messages.
2. If you need to share more photos, they'll create new tasks to complete or you can use the paper clip icon in your messages to upload additional photos if required

## What if I'm not eligible?

If we're unable to help:

- This is to ensure we maintain high standards of safeguarding and healthcare compliance
- Contact our Customer Care Team for more information about your specific circumstances

## Need More Help?

- Watch our instructional video for a visual guide
- Contact our Customer Care Team at the contact details provided below

We're here to support you every step of the way on your weight loss journey with Voy.

Weight Loss Journey Support

![](https://cdn.loom.com/avatars/27691127_fe354bb7cb6e40d9a29e01752c7efd0e_192.jpg)

[Weight Loss Journey Support](https://www.loom.com/share/53a33e6c4d274acb8e88d957e6a6d334?source=embed_watch_on_loom_cta&t=0 ""Weight Loss Journey Support"")

2 min

36 views

0

[Open video in Loom](https://www.loom.com/share/53a33e6c4d274acb8e88d957e6a6d334?source=embed_watch_on_loom_cta&t=0 ""Open video in Loom"")

1.2×

1 min 48 sec⚡️2 min 16 sec1 min 48 sec1 min 30 sec1 min 12 sec1 min 4 sec54 sec43 sec

Powered by

Your user agent does not support the HTML5 Video element.

![](https://cdn.loom.com/avatars/27691127_fe354bb7cb6e40d9a29e01752c7efd0e_192.jpg)

[Weight Loss Journey Support](https://www.loom.com/share/53a33e6c4d274acb8e88d957e6a6d334?source=embed_watch_on_loom_cta&t=0 ""Weight Loss Journey Support"")

2 min

36 views

0

[Open video in Loom](https://www.loom.com/share/53a33e6c4d274acb8e88d957e6a6d334?source=embed_watch_on_loom_cta&t=0 ""Open video in Loom"")

1.2×

1 min 48 sec⚡️2 min 16 sec1 min 48 sec1 min 30 sec1 min 12 sec1 min 4 sec54 sec43 sec

Powered by

",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/20065316311188-How-does-the-Voy-weight-loss-programme-work,How does the Voy weight loss programme work? – Voy,How does the Voy weight loss programme work? – Voy,"
Voy is the last weight loss programme you'll ever need.

We offer a wide range of treatments, so once you get to our page, have a browse and see what works for you! If you are unsure, you can even try filling in our questionnaire to see what our clinicians recommend.

After placing an order, our clinical team will check and either approve or reject it depending on your medical questionnaire answers. Once it has been approved, we will get this processed and dispatched depending on the items you have ordered.

All our treatments also include coaching from our team of expert nutritionists and dieticians who will be there to assist you every step of the way!

If you have questions and want to speak to us, you can contact our clinical or customer service teams via email on help@joinvoy.com or give us a ring on  020 3912 9885 (Mon-Fri 9-17:00).

You might also find the following articles helpful:

[How does my subscription work?](https://joinvoy.zendesk.com/hc/en-gb/articles/24090327063060-How-does-my-subscription-work)

[Is this a safe and effective way to loose weight](https://joinvoy.zendesk.com/hc/en-gb/articles/20167996852628-Is-this-a-safe-and-effective-way-to-manage-weight-loss)

We’re here for you whenever you need us.

Related to

- [General Query](https://joinvoy.zendesk.com/hc/en-gb/search?content_tags=01GVFXVMYVQJHA7JPF273TBAFJ&utf8=%E2%9C%93 ""Search results"")
- [How does it work](https://joinvoy.zendesk.com/hc/en-gb/search?content_tags=01HD46AZJ0J2W11G1QAYBTMT30&utf8=%E2%9C%93 ""Search results"")

",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/35168676837780-General-Guidance-for-Missing-Doses,General Guidance for Missing Doses – Voy,General Guidance for Missing Doses – Voy,"
If you’ve missed a dose of your Mounjaro or Wegovy treatment, don’t worry. We've put together this helpful guide to help you understand what to do next. Following these steps ensures that you stay on track with your treatment and can resume as safely and effectively as possible.

- **Missed 1 Dose**:
  - You can take it **as soon as you remember** and continue your injections on this day moving forward. Alternatively, you can wait until your next scheduled dose and administer it then.
- **Missed More Than 2 Doses**:
  - Please contact our clinical team, as a **dose adjustment to a lower stength** may be needed to ensure your safety.

- **Want to Change Your Injection Day?**
  - Make sure at least 4 days have passed since your last injection before giving the next dose. This might mean extending the gap between doses longer than the usual 7 days to shift your schedule.

* * *

For personalized guidance or if you have any concerns, you can contact our clinical team directly through your account or book a call with them here: [Book a Call with Clinicians](https://www.joinvoy.com/book).

",N/A
https://joinvoy.zendesk.com/hc/en-gb/sections/20198633318804-Payments,Payments – Voy,Payments – Voy,"
- [How do payments work?](https://joinvoy.zendesk.com/hc/en-gb/articles/31256352027156-How-do-payments-work)",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/20198976737428-How-do-I-unsubscribe-from-marketing-communications,How do I unsubscribe from marketing communications? – Voy,How do I unsubscribe from marketing communications? – Voy,"
We value your privacy and understand that you may want to adjust the communications you receive from us. Here's how you can unsubscribe from our marketing communications:

## How to unsubscribe to marketing communications

1. **Via Email**:
   - Look for the ""unsubscribe"" link at the bottom of any marketing email you've received from us.
   - Click on this link to be removed from our marketing mailing list.
2. **Contact Us Directly**:
   - If you prefer, you can email us at [help@joinvoy.com](mailto:help@joinvoy.com ""mailto:help@joinvoy.com"").
   - Our team will assist you in unsubscribing from marketing communications.

## What Happens When You Unsubscribe

- You'll be removed from our marketing mailing list.
- You'll no longer receive promotional emails or offers from us.

## Important Note

Unsubscribing from marketing communications does not affect:

- Transactional emails related to your orders
- Important updates about your account or treatment

Remember, even if you unsubscribe from marketing communications, we're always here to support your weight loss journey. You can reach out to us anytime for assistance with your treatment or account.

",N/A
https://joinvoy.zendesk.com/hc/en-gb/articles/20198884011412-How-do-I-update-my-account-or-subscription,How do I update my account or subscription? – Voy,How do I update my account or subscription? – Voy,"
We're working hard to make it as easy as possible for you to manage your subscription. However, given the time-sensitive nature of your administering cycle, there are some limitations. Here's how you can manage various aspects of your account and subscription:

## How do I update my account details?

We aim to make it as easy as possible for you to keep your account up to date.

You can edit certain details, such as billing method, delivery address and general account preferences by:

1. Logging into your account
2. Clicking [Account](https://www.joinvoy.com/account) in the left-hand menu
3. Selecting [Account Details](https://www.joinvoy.com/account/details)

Here, you can change your:

- Personal Info (email, name, phone number)
- Shipping Address
- Billing Address

If you're changing your shipping address, please make sure to do this before your next order is placed.

## How can I amend my next order date?

If you're overstocked or going on a trip and need your delivery early, we've got you covered!

To amend your next order date:

1. [Log into your online account](http://joinvoy.com/login)
2. Click on [Account](https://www.joinvoy.com/account) in the left-hand menu settings
3. Select ' [Manage Plans](https://www.joinvoy.com/account/myplans)'
4. Choose a date that works for you

Your payment and order will then process on the new date you've selected. Please note that due to the time-sensitive administration of our prescription medications, there is a limit of 18 days to how far an order can be pushed back.

If you can't see this option on your account, you can contact our Customer Care Team. They will be able to adjust your next order date for you.

In your email, please include:

- The reason why you'd like to change your next order date
- The date that you'd like your next order to be placed

## How can I change my treatment or dose?

If you wish to change your treatment or dose, this can be discussed with a member of our medical team. To speak with our medical team you can either:

- [Book a consultation](https://calendly.com/d/4rh-sjv-6cg)
- Message our Clinical Team on your account by clicking on [Support](https://www.joinvoy.com/account/support) and then ['Messages'](https://www.joinvoy.com/account/messages)

",N/A
